,date,Month,E01Temp,E02Temp,E03Temp,E04Temp,E05Temp,E06Temp,E07Temp,E08Temp,E09Temp
155,04/06/2017,June,11.04839421,12.35077851,11.95941091,13.00640453,13.0901868,12.78819157,13.50646679,12.34660771,12.60264208
156,05/06/2017,June,11.045783,11.86274603,11.38467782,11.98553577,11.61826115,11.06392777,11.80482303,10.73647059,10.77655125
157,06/06/2017,June,10.70206983,12.85689017,12.45207689,12.33913913,12.40064701,12.16597664,12.34408895,11.28657686,10.64507795
158,07/06/2017,June,11.09722304,13.26239938,12.78706163,12.91535163,12.93310432,12.51796148,13.10307074,12.02505745,11.44916314
159,08/06/2017,June,12.10326066,14.05611501,13.63353485,13.99296372,14.26288988,14.1185101,14.86568413,13.9213734,13.86513558
160,09/06/2017,June,13.0572721,14.64075166,14.00616359,14.5486389,14.26511271,14.00280059,14.55807416,13.47366963,13.52864619
161,10/06/2017,June,13.93591976,15.32030644,14.94419466,15.22185783,14.5147366,14.35942252,14.96542612,13.81780191,13.97285252
162,11/06/2017,June,12.87240309,14.93578552,14.56882378,15.02696131,15.03694431,15.00412412,15.31153077,14.03986478,14.23077635
163,12/06/2017,June,12.18000013,14.53839398,13.93299721,14.33311061,14.23817786,13.73979895,14.05886035,12.96755362,12.63930268
164,13/06/2017,June,13.32840115,13.69029132,13.85374759,14.57619436,14.98822476,14.92920496,15.99097662,14.84425016,14.97698592
165,14/06/2017,June,15.96202634,16.79752588,15.77080796,17.08719671,16.60717864,16.07491511,17.13183073,16.01951464,17.08920725
166,15/06/2017,June,13.0550044,14.80090188,14.71280576,15.64584911,16.09234928,16.00123565,15.83077244,14.78784275,14.6633343
167,16/06/2017,June,14.16781066,15.53997597,15.16145904,16.08973919,16.15129679,15.79011472,15.79117599,15.10616532,14.46639778
168,17/06/2017,June,17.04141471,19.84182548,19.03886875,19.87427038,20.27379365,19.81129485,20.03998665,19.04913929,19.26885584
169,18/06/2017,June,17.02757721,18.99942778,18.51444486,19.25909879,19.77786919,19.74813736,19.2598582,18.73052708,19.17346896
170,19/06/2017,June,17.04724917,19.64165284,18.66801238,19.95692421,20.7670164,20.76115528,20.76920423,20.17742689,20.6096309
171,20/06/2017,June,15.44909413,14.68191721,14.40572667,16.3245269,16.42694692,16.1030083,17.01925489,15.98069329,15.84550563
